taxa	taxid	superkingdom	clade	kingdom	family	genus
Homo sapiens	9606	Eukaryota	Opisthokonta	Metazoa	Hominidae	Homo
Candida albicans	5476	Eukaryota	Opisthokonta	Fungi	Debaryomycetaceae	Candida
[Candida] glabrata	5478	Eukaryota	Opisthokonta	Fungi	Saccharomycetaceae	Nakaseomyces
Saccharomyces cerevisiae	4932	Eukaryota	Opisthokonta	Fungi	Saccharomycetaceae	Saccharomyces
Coccidioides posadasii	199306	Eukaryota	Opisthokonta	Fungi	Onygenaceae	Coccidioides
Coccidioides immitis	5501	Eukaryota	Opisthokonta	Fungi	Onygenaceae	Coccidioides
Histoplasma capsulatum	5037	Eukaryota	Opisthokonta	Fungi	Ajellomycetaceae	Histoplasma
Aspergillus niger	5061	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus oryzae	5062	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus clavatus	5057	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus fumigatus	746128	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus fischeri	36630	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus carbonarius	40993	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Talaromyces marneffei	37727	Eukaryota	Opisthokonta	Fungi	Trichocomaceae	Talaromyces
Fusarium oxysporum	5507	Eukaryota	Opisthokonta	Fungi	Nectriaceae	Fusarium
Fusarium verticillioides	117187	Eukaryota	Opisthokonta	Fungi	Nectriaceae	Fusarium
Neurospora crassa	5141	Eukaryota	Opisthokonta	Fungi	Sordariaceae	Neurospora
Neurospora discreta	29879	Eukaryota	Opisthokonta	Fungi	Sordariaceae	Neurospora
Sordaria macrospora	5147	Eukaryota	Opisthokonta	Fungi	Sordariaceae	Sordaria
Botrytis cinerea	40559	Eukaryota	Opisthokonta	Fungi	Sclerotiniaceae	Botrytis
Schizosaccharomyces pombe	4896	Eukaryota	Opisthokonta	Fungi	Schizosaccharomycetaceae	Schizosaccharomyces
Schizosaccharomyces japonicus	4897	Eukaryota	Opisthokonta	Fungi	Schizosaccharomycetaceae	Schizosaccharomyces
Melampsora larici-populina	203908	Eukaryota	Opisthokonta	Fungi	Melampsoraceae	Melampsora
Puccinia graminis	5297	Eukaryota	Opisthokonta	Fungi	Pucciniaceae	Puccinia
Ustilago maydis	5270	Eukaryota	Opisthokonta	Fungi	Ustilaginaceae	Ustilago
Sporisorium reilianum	72558	Eukaryota	Opisthokonta	Fungi	Ustilaginaceae	Sporisorium
Malassezia globosa	76773	Eukaryota	Opisthokonta	Fungi	Malasseziaceae	Malassezia
Tremella mesenterica	5217	Eukaryota	Opisthokonta	Fungi	Tremellaceae	Tremella
Cryptococcus neoformans	5207	Eukaryota	Opisthokonta	Fungi	Cryptococcaceae	Cryptococcus
Edhazardia aedis	70536	Eukaryota	Opisthokonta	Fungi	Culicosporidae	Edhazardia
Spraguea lophii	51541	Eukaryota	Opisthokonta	Fungi	Spraguidae	Spraguea
Anncaliia algerae	723287	Eukaryota	Opisthokonta	Fungi	Tubulinosematidae	Anncaliia
Rhizopus delemar	936053	Eukaryota	Opisthokonta	Fungi	Rhizopodaceae	Rhizopus
Phycomyces blakesleeanus	4837	Eukaryota	Opisthokonta	Fungi	Phycomycetaceae	Phycomyces
