taxa	taxid	superkingdom	clade	kingdom	family	genus
Homo sapiens	9606	Eukaryota	Opisthokonta	Metazoa	Hominidae	Homo
Fusarium oxysporum	5507	Eukaryota	Opisthokonta	Fungi	Nectriaceae	Fusarium
Fusarium verticillioides	117187	Eukaryota	Opisthokonta	Fungi	Nectriaceae	Fusarium
Fusarium graminearum	5518	Eukaryota	Opisthokonta	Fungi	Nectriaceae	Fusarium
Trichoderma reesei	51453	Eukaryota	Opisthokonta	Fungi	Hypocreaceae	Trichoderma
Neurospora discreta	29879	Eukaryota	Opisthokonta	Fungi	Sordariaceae	Neurospora
Neurospora crassa	5141	Eukaryota	Opisthokonta	Fungi	Sordariaceae	Neurospora
Neurospora tetrasperma	40127	Eukaryota	Opisthokonta	Fungi	Sordariaceae	Neurospora
Sordaria macrospora	5147	Eukaryota	Opisthokonta	Fungi	Sordariaceae	Sordaria
Sclerotinia sclerotiorum	5180	Eukaryota	Opisthokonta	Fungi	Sclerotiniaceae	Sclerotinia
Botrytis cinerea	40559	Eukaryota	Opisthokonta	Fungi	Sclerotiniaceae	Botrytis
Coccidioides immitis	5501	Eukaryota	Opisthokonta	Fungi	Onygenaceae	Coccidioides
Coccidioides posadasii	199306	Eukaryota	Opisthokonta	Fungi	Onygenaceae	Coccidioides
Histoplasma capsulatum	5037	Eukaryota	Opisthokonta	Fungi	Ajellomycetaceae	Histoplasma
Aspergillus clavatus	5057	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus fumigatus	746128	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus fischeri	36630	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus flavus	5059	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus terreus	33178	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus niger	5061	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
